Fecha,POLYGON,TIENE_ALGA,NOMBRE_FICHERO
9-4-2023,"POLYGON ((-7.5262454743456715 39.66672692059894, -7.5238403916980525 39.66669637036892, -7.523853372713001 39.666086466637324, -7.52625843422954 39.666117016209796, -7.5262454743456715 39.66672692059894))",1,S2B_MSIL2A_20230409T112119_N0509_R037_T29SPD_20230409T124600.zip
9-4-2023,"POLYGON ((-7.500177489019158 39.665841172719915, -7.4973966810049095 39.66580522102433, -7.497422477606586 39.66461447067239, -7.500203237923758 39.66465042085724, -7.500177489019158 39.665841172719915))",0,S2B_MSIL2A_20230409T112119_N0509_R037_T29SPD_20230409T124600.zip
9-4-2023,"POLYGON ((-7.461897466605935 39.663103508039555, -7.457989529154954 39.663051677243296, -7.458006961056038 39.662267538595394, -7.461914854371633 39.66231936795735, -7.461897466605935 39.663103508039555))",0,S2B_MSIL2A_20230409T112119_N0509_R037_T29SPD_20230409T124600.zip
9-4-2023,"POLYGON ((-7.414217255745942 39.649156933221576, -7.410723439183598 39.649109170071156, -7.410752702428871 39.647831340243606, -7.414246454725589 39.647879101239944, -7.414217255745942 39.649156933221576))",0,S2B_MSIL2A_20230409T112119_N0509_R037_T29SPD_20230409T124600.zip
9-4-2023,"POLYGON ((-7.380151532373878 39.6515627521718, -7.377333887107421 39.65152341339354, -7.377358334883249 39.65047793384206, -7.380175937743156 39.65051727116878, -7.380151532373878 39.6515627521718))",1,S2B_MSIL2A_20230409T112119_N0509_R037_T29SPD_20230409T124600.zip
9-4-2023,"POLYGON ((-7.355355929773733 39.64647898123312, -7.353853313584189 39.646457690522126, -7.353870533855118 39.64573167095201, -7.35537313434314 39.645752961117445, -7.355355929773733 39.64647898123312))",1,S2B_MSIL2A_20230409T112119_N0509_R037_T29SPD_20230409T124600.zip
9-4-2023,"POLYGON ((-7.2943337100700285 39.655475829489596, -7.292981222374785 39.655455954552565, -7.293004800826948 39.654497640059674, -7.294357269862838 39.65451751432452, -7.2943337100700285 39.655475829489596))",1,S2B_MSIL2A_20230409T112119_N0509_R037_T29SPD_20230409T124600.zip
9-4-2023,"POLYGON ((-7.278778126572177 39.66275743964248, -7.277027800771265 39.66273147958889, -7.277049883809547 39.66184249172875, -7.2788001872038475 39.661868450967894, -7.278778126572177 39.66275743964248))",1,S2B_MSIL2A_20230409T112119_N0509_R037_T29SPD_20230409T124600.zip
9-4-2023,"POLYGON ((-7.262204449476649 39.66533317318364, -7.260053988530532 39.66530096711306, -7.260070473122902 39.66464389533326, -7.262220913720138 39.66467610065705, -7.262204449476649 39.66533317318364))",1,S2B_MSIL2A_20230409T112119_N0509_R037_T29SPD_20230409T124600.zip
9-4-2023,"POLYGON ((-7.535289832442897 39.666822257666645, -7.534437267907862 39.6664466045242, -7.534964652330746 39.66624603492497, -7.535326427353344 39.66612446201888, -7.535822201101806 39.66583339202883, -7.53586276157522 39.666500626583336, -7.53586276157522 39.666500626583336, -7.53586276157522 39.666500626583336, -7.535289832442897 39.666822257666645))",1,S2B_MSIL2A_20230409T112119_N0509_R037_T29SPD_20230409T124600.zip
9-4-2023,"POLYGON ((-7.529713464705575 39.66683287084252, -7.528699901625515 39.66686958625889, -7.527929718082604 39.6667336881012, -7.527226088795822 39.66651754112657, -7.526827958830581 39.66629175151281, -7.526896386281943 39.66615747315299, -7.527201343303477 39.66613881712974, -7.527416462913171 39.66626768216302, -7.527983018509544 39.66624783647061, -7.528403769243825 39.66643786976448, -7.529045473128839 39.66648203961501, -7.52992740188594 39.66650221817972, -7.52992740188594 39.66650221817972, -7.529713464705575 39.66683287084252))",1,S2B_MSIL2A_20230409T112119_N0509_R037_T29SPD_20230409T124600.zip
9-4-2023,"POLYGON ((-7.521569258107116 39.66620239113185, -7.521504639390834 39.6656790022148, -7.520902546550175 39.665315448767906, -7.520975633992804 39.66492895995565, -7.520495824179181 39.664981410955455, -7.520432355279368 39.66539505128992, -7.520396502502979 39.66553875062801, -7.519711645959664 39.66550299267957, -7.519308492022656 39.66547983297344, -7.518930707997984 39.665326353939705, -7.518560196382437 39.66534415190607, -7.518224868329005 39.66524977567389, -7.51790070124496 39.665110492134446, -7.517356968443337 39.665085531263685, -7.517342576571498 39.6652475231682, -7.517436290495539 39.66546495394284, -7.517662838366719 39.665535419431855, -7.518065263489534 39.66555857555197, -7.518391934349128 39.66558076371077, -7.518629272468864 39.66569190891623, -7.518745653937448 39.66583754975067, -7.519343928131434 39.665867704520956, -7.519822839295331 39.665891829838365, -7.52040941978395 39.665957869099536, -7.520865423129795 39.66603125190527, -7.521069219890993 39.666178003922624, -7.521069219890993 39.666178003922624, -7.521231520984273 39.666220614889326, -7.521231520984273 39.666220614889326, -7.521569258107116 39.66620239113185))",1,S2B_MSIL2A_20230409T112119_N0509_R037_T29SPD_20230409T124600.zip
9-4-2023,"POLYGON ((-7.382250981029454 39.65192809129188, -7.380269937866665 39.651900475709574, -7.380294881197719 39.65083188350653, -7.382275893885526 39.65085949804734, -7.382250981029454 39.65192809129188))",1,S2B_MSIL2A_20230409T112119_N0509_R037_T29SPD_20230409T124600.zip
9-4-2023,"POLYGON ((-7.377086979229764 39.651586695573215, -7.375051527060984 39.65155823055381, -7.3750812791044185 39.6502877028532, -7.3771166940449255 39.650316166596205, -7.377086979229764 39.651586695573215))",1,S2B_MSIL2A_20230409T112119_N0509_R037_T29SPD_20230409T124600.zip
9-4-2023,"POLYGON ((-7.381712833386083 39.65072539984521, -7.380297827172666 39.65070567181512, -7.3803184484780795 39.64982218989308, -7.381733436695457 39.64984191730803, -7.381712833386083 39.65072539984521))",1,S2B_MSIL2A_20230409T112119_N0509_R037_T29SPD_20230409T124600.zip
